Country;CO2;Kwh;Liter
Norway;4,54124116;0.2289;0.0014
Switzerland;36,90303954;0.2289;0.0014
Sweden;43,604094;0.2289;0.0014
France;92,40422698;0.2289;0.0014
Latvia;150,1790204;0.2289;0.0014
Austria;161,1651896;0.2289;0.0014
Lithuania;167,7088856;0.2289;0.0014
Finland;177,7932788;0.2289;0.0014
Belgium;253,6057761;0.2289;0.0014
Slovakia;292,4945402;0.2289;0.0014
Denmark;328,8408677;0.2289;0.0014
Luxembourg ;333,9838975;0.2289;0.0014
Slovenia;344,6101558;0.2289;0.0014
Hungary;357,311107;0.2289;0.0014
European Union ;396,0731156;0.2289;0.0014
Italy;404,6516666;0.2289;0.0014
Spain;429,6285341;0.2289;0.0014
Netherlands;432,8566667;0.2289;0.0014
Turkey;441,0721431;0.2289;0.0014
Bulgaria;457,8295163;0.2289;0.0014
United Kingdom;496,2775837;0.2289;0.0014
Germany ;503,415308;0.2289;0.0014
Portugal;505,7359634;0.2289;0.0014
Ireland;573,0897985;0.2289;0.0014
Romania;584,1404759;0.2289;0.0014
Czech Republic;629,9374854;0.2289;0.0014
Cyprus;673,2293969;0.2289;0.0014
Poland;810,4181746;0.2289;0.0014
Greece;904,1774417;0.2289;0.0014
Malta;905,0610922;0.2289;0.0014
Estonia;989,7332006;0.2289;0.0014